date,product,category,region,store,price,promotion,inventory,weekday,month,sales
2023-01-01,laptop,computers,north,store_3,900.0,0,18,6,1,7
2023-01-01,mouse,accessories,south,store_3,25.0,0,41,6,1,26
2023-01-01,keyboard,accessories,south,store_2,54.0,1,26,6,1,16
2023-01-01,monitor,displays,north,store_1,250.0,0,22,6,1,6
2023-01-01,headphones,audio,north,store_4,120.0,0,23,6,1,9
2023-01-02,laptop,computers,south,store_2,900.0,0,23,0,1,4
2023-01-02,mouse,accessories,south,store_4,25.0,0,41,0,1,18
2023-01-02,keyboard,accessories,north,store_3,60.0,0,32,0,1,10
2023-01-02,monitor,displays,center,store_2,225.0,1,16,0,1,10
2023-01-02,headphones,audio,south,store_4,120.0,0,18,0,1,7
2023-01-03,laptop,computers,south,store_3,900.0,0,16,1,1,4
2023-01-03,mouse,accessories,center,store_2,25.0,0,46,1,1,20
2023-01-03,keyboard,accessories,center,store_1,60.0,0,23,1,1,11
2023-01-03,monitor,displays,north,store_2,250.0,0,18,1,1,6
2023-01-03,headphones,audio,north,store_2,108.0,1,46,1,1,17
2023-01-04,laptop,computers,north,store_1,900.0,0,26,2,1,7
2023-01-04,mouse,accessories,north,store_3,25.0,0,28,2,1,16
2023-01-04,keyboard,accessories,south,store_3,60.0,0,28,2,1,7
2023-01-04,monitor,displays,south,store_1,250.0,0,20,2,1,7
2023-01-04,headphones,audio,north,store_4,108.0,1,29,2,1,13
2023-01-05,laptop,computers,south,store_3,900.0,0,23,3,1,7
2023-01-05,mouse,accessories,south,store_3,25.0,0,27,3,1,22
2023-01-05,keyboard,accessories,south,store_2,60.0,0,37,3,1,10
2023-01-05,monitor,displays,south,store_3,250.0,0,20,3,1,7
2023-01-05,headphones,audio,center,store_2,120.0,0,16,3,1,5
2023-01-06,laptop,computers,north,store_4,900.0,0,12,4,1,4
2023-01-06,mouse,accessories,south,store_3,22.5,1,35,4,1,27
2023-01-06,keyboard,accessories,south,store_3,54.0,1,36,4,1,13
2023-01-06,monitor,displays,center,store_2,250.0,0,17,4,1,7
2023-01-06,headphones,audio,center,store_2,120.0,0,25,4,1,10
2023-01-07,laptop,computers,south,store_4,900.0,0,12,5,1,7
2023-01-07,mouse,accessories,center,store_1,25.0,0,46,5,1,22
2023-01-07,keyboard,accessories,south,store_3,60.0,0,20,5,1,11
2023-01-07,monitor,displays,center,store_4,250.0,0,32,5,1,4
2023-01-07,headphones,audio,center,store_4,108.0,1,38,5,1,17
2023-01-08,laptop,computers,center,store_4,900.0,0,22,6,1,6
